Samp,Signal,I,Q,R,Phi,,,,
304,-580,-42.1,-30.57,52.03,-2.51,,,,
305,-809,-41.59,-30.71,51.7,-2.51,,,,
306,-1166,-41.13,-31.29,51.68,-2.49,,,,
307,-1525,-41.11,-32.22,52.23,-2.48,,,,
308,-1727,-41.72,-33.08,53.24,-2.47,,,,
309,-1726,-42.73,-33.4,54.23,-2.48,,,,
310,-1505,-43.6,-33.08,54.73,-2.49,,,,
311,-1151,-43.99,-32.48,54.68,-2.51,,,,
312,-787,-43.97,-31.96,54.36,-2.51,,,,
313,-572,-43.73,-31.65,53.98,-2.52,,,,
314,-579,-43.36,-31.52,53.6,-2.51,,,,
315,-809,-42.84,-31.66,53.27,-2.51,,,,
316,-1167,-42.39,-32.23,53.25,-2.49,,,,
317,-1526,-42.36,-33.17,53.8,-2.48,,,,
318,-1728,-42.97,-34.03,54.81,-2.47,,,,
319,-1726,-43.98,-34.34,55.79,-2.48,,,,
320,-1505,-44.85,-34.03,56.29,-2.49,,,,
321,-1151,-45.24,-33.42,56.25,-2.51,,,,
322,-788,-45.22,-32.9,55.92,-2.51,,,,
323,-569,-44.98,-32.59,55.55,-2.51,,,,
324,-579,-44.6,-32.46,55.16,-2.51,,,,
325,-811,-44.09,-32.6,54.83,-2.5,,,,
326,-1165,-43.63,-33.17,54.81,-2.49,,,,
327,-1526,-43.61,-34.11,55.36,-2.48,,,,
328,-1728,-44.22,-34.96,56.37,-2.47,,,,
329,-1727,-45.22,-35.28,57.35,-2.48,,,,
330,-1504,-46.09,-34.96,57.85,-2.49,,,,
331,-1150,-46.49,-34.36,57.8,-2.51,,,,
332,-787,-46.46,-33.84,57.47,-2.51,,,,
333,-569,-46.22,-33.53,57.1,-2.51,,,,
334,-581,-45.84,-33.4,56.72,-2.51,,,,
335,-809,-45.33,-33.53,56.38,-2.5,,,,
336,-1165,-44.87,-34.1,56.36,-2.49,,,,
337,-1526,-44.84,-35.04,56.91,-2.48,,,,
338,-1729,-45.45,-35.9,57.92,-2.47,,,,
339,-1724,-46.45,-36.21,58.9,-2.48,,,,
340,-1506,-47.32,-35.89,59.4,-2.49,,,,
341,-1150,-47.72,-35.29,59.35,-2.5,,,,
342,-788,-47.69,-34.77,59.02,-2.51,,,,
343,-569,-47.45,-34.46,58.64,-2.51,,,,
344,-577,-47.07,-34.32,58.26,-2.51,,,,
345,-810,-46.56,-34.46,57.93,-2.5,,,,
346,-1165,-46.1,-35.03,57.9,-2.49,,,,
347,-1526,-46.07,-35.97,58.45,-2.48,,,,
348,-1728,-46.68,-36.82,59.46,-2.47,,,,
349,-1724,-47.68,-37.13,60.44,-2.48,,,,
350,-1506,-48.55,-36.82,60.93,-2.49,,,,
351,-1151,-48.95,-36.21,60.88,-2.5,,,,
352,-786,-48.92,-35.69,60.55,-2.51,,,,
353,-571,-48.67,-35.38,60.17,-2.51,,,,
354,-579,-48.3,-35.25,59.79,-2.51,,,,
355,-810,-47.78,-35.38,59.46,-2.5,,,,
356,-1166,-47.32,-35.95,59.43,-2.49,,,,
357,-1526,-47.29,-36.89,59.98,-2.48,,,,
358,-1730,-47.9,-37.74,60.99,-2.47,,,,
359,-1725,-48.9,-38.06,61.97,-2.48,,,,
360,-1505,-49.77,-37.74,62.46,-2.49,,,,
